source,category,title,link,text,image source,image alt text,date posted,username,hashtags,number of likes,number of comments,number of views,standardized_date,AUT_LABEL,DEM_LABEL,WEST_LABEL,FOCAL_COUNTRY,sample_from,label_value,Google_Trans,Label_value Correct?,Focal Country Correct?,notes,Discuss
t.me/rusembserbia,RF_Diplomats,Посольство России в Сербии,https://t.me/rusembserbia/1365?embed=1,"🗓️ 1 августа, в День памяти российских воинов, погибших в Первой мировой войне 1914-1918 гг., состоялась торжественная церемония возложения венков к Мемориалу русской воинской славы в Русском некрополе на Новом кладбище Белграда.💐 В мероприятии приняли участие государственный секретарь Министерства труда, занятости, по делам ветеранов и социальным вопросам Сербии Нинослав Йованович, государственный секретарь Министерства по вопросам семьи и демографии Сербии Никола Вукелич, заместитель Министра по вопросам села Сербии Горан Миленкович, дипломаты Посольства России, представители органов власти ряда сербских городов и муниципалитетов, ветеранских и общественных организаций, объединений российских соотечественников и обществ российско-сербской дружбы.🕯️ Панихиду по павшим воинам отслужил настоятель Подворья Русской православной церкви в Белграде протоиерей Виталий Тарасьев. 📷 Фото: Лола Джорджевич / Спутник",https://cdn4.cdn-telegram.org/file/koeBVgYsUU2CbGSb940seTguKVEhjtUWIbfhwRQePSxNdQRWTXa_S7Fb45WmyXhSFJhNhWmHXtmWRaoalrSxtBV6ymlE_hKQzm4VyMOd00Rqx6MpthQdouhm_LXYQOTP1uGu4D6akctE8ChZbCxq7lWnclL2lsAs2J3w6cwNXUvd7A6jVQJQHsD8avSo3itC_oN4YFG-ZWIZTiyI7FvLcPhL8vhiPNVpkLwas_PXl8Gvh4FeYA6Ze-aLuXaiwj0ih-yG5-DI9yDPU0eRJhwB1QMRXOEvXiKARcxJn3mdNMS5TEaD7_ITLwyZaMJ1RjFHReZmZOLa5dBdDKbe2IUXZg.jpg,nan,2024-08-01T10:21:38+00:00,rusembserbia,nan,nan,nan,20.3K,2024-08-01 10:21:38,No Category,No Category,No Category,Other,AUT_LABEL,No Category,"🗓️ On August 1, the Day of Remembrance of Russian Soldiers Who Died in World War I (1914-1918), a wreath-laying ceremony was held at the Memorial to Russian Military Glory in the Russian Necropolis at the New Cemetery in Belgrade.💐 The event was attended by Ninoslav Jovanović, State Secretary of the Ministry of Labor, Employment, Veterans and Social Affairs of Serbia; Nikola Vukelić, State Secretary of the Ministry of Family and Demography of Serbia; Goran Milenković, Deputy Minister for Rural Affairs of Serbia; diplomats from the Russian Embassy; and representatives of several Serbian city and municipal authorities, veterans' and public organizations, Russian compatriot associations, and Russian-Serbian friendship societies.🕯️ Archpriest Vitaly Tarasyev, rector of the Podvorie of the Russian Orthodox Church in Belgrade, served a memorial service for the fallen soldiers. 📷 Photo: Lola Djordjevic / Sputnik",N,N,Authoritarian - Alliances,Y
t.me/RusBotschaft,RF_Diplomats,Russische Botschaft in Deutschland 🇷🇺 ✔,https://t.me/RusBotschaft/11426?embed=1,"📍 Kommentar der Russischen Botschaft  anlässlich des 75. Jahrestages der Gründung der Deutschen Demokratischen Republik 📅 Am 7. Oktober 1949 wurde auf dem Gebiet der nach dem Krieg gebildeten Sowjetischen Besatzungszone die Deutsche Demokratische Republik gegründet. Das geschah als Reaktion auf die Gründung der Bundesrepublik Deutschland aus der amerikanischen, britischen und französischen Besatzungszone am 23. Mai desselben Jahres. Der Separatbeschluss des Westens hat die Hoffnung auf die Schaffung eines einheitlichen, entnazifizierten, entmilitarisierten, demokratischen und neutralen deutschen Staates zunichtegemacht sowie die Teilung des deutschen Volkes und die Konfrontation der Systeme auf Jahrzehnte vorbestimmt.  ▪️ Im Westen werden die Kapitel der Geschichte, die mit dem Bestehen der DDR im Zusammenhang stehen, nicht selten diskreditiert und haltlos schwarzgemalt. Der Fokus gilt ausschließlich negativen Aspekten. Abgestritten oder verschwiegen werden soziale, wissenschaftliche, kulturelle, sportliche und sonstige Errungenschaften des ostdeutschen Staates. Verdrängt werden die einzigartigen Erfahrungen eines Staatsaufbaus im Sinne der sozialen Gerechtigkeit, zum Schutz von Arbeitermenschen, zur Gestaltung von Zukunftsperspektiven für nachkommende Generationen und im Interesse von Kindern und Müttern. Die Leistungen also, die vor dem Hintergrund des Nachkriegsruins und der kontinuierlichen Versuche, die DDR zu destabilisieren, erbracht wurden. ▪️ Es ist klar, dass die im Krieg ausgeblutete Sowjetunion dem ostdeutschen Staat keinen eigenen „Marshall-Plan“ anbieten konnte. Einige Jahre später machte die Sowjetunion jedoch einen anderen Schritt von großer Tragweite: 1953 verzichtete die UdSSR auf Reparationen, die nach Expertenschätzungen bis dahin nicht einmal ein Zehntel des der sowjetischen Volkswirtschaft zugefügten Kriegsschadens ausgeglichen hatten. Unser Land zog es jedoch vor, in die Zukunft zu schauen und diese Zukunft gemeinsam mit dem deutschen Volk zu gestalten.▪️ Zwar können die politischen, ideologischen und sozio-ökonomischen Realitäten in der DDR in den verschiedenen Stadien der ostdeutschen Entwicklung unterschiedlich gesehen werden. Außer Zweifel steht jedoch der Beitrag, den die DDR zur beispiellosen Aussöhnung zwischen dem sowjetischen und dem deutschen Volk nach dem Krieg leistete. Eine entscheidende Rolle spielten dabei die bewusste Ausrichtung der DDR auf eine regelrechte Entnazifizierung und den Ausbau guter nachbarschaftlicher und freundschaftlicher Beziehungen zur UdSSR, u. a. zwischen den Gesellschaften und einzelnen Menschen. Der Hass, den die einstigen Feinde gegeneinander gehegt hatten, wich den Werten der Freundschaft und des Respekts, die durch eine Vielzahl von Kontakten zwischen Berufsgruppen, Gesellschaftsinitiativen, Forschungs-, Kultur- und Bildungseinrichtungen sowie durch einen intensiven Touristen- und Jugendaustausch zustande kamen. Wir kannten und verstanden einander gut. Auch bis in den heutigen Tag hinein spüren wir, mit wie viel Sympathie die Menschen in den ostdeutschen Bundesländern, von denen viele in der DDR lebten und arbeiteten, auf Russland schauen. Nichts hat sich daran geändert. Nicht in den Jahrzehnten, die seit dem Tag der Deutschen Wiedervereinigung verstrichen sind, an der unser Land auch einen entscheidenden Anteil hatte, aber auch nicht angesichts der aktuellen politischen Turbulenzen und der Versuche, mit Falschinformationen und Propaganda einen Keil zwischen unsere Völker zu treiben. Unstrittig ist auch, dass die Menschen in der Sowjetunion die Deutschen nie als Vertreter des ehemaligen Nazireichs betrachteten. Jeder in Deutschland, der jemals unser Land besuchte, wird bestätigen, dass deutsche Gäste dort immer als Freunde empfangen wurden. 🔗 Weiterlesen.",https://cdn4.cdn-telegram.org/file/MoaHCnymZ1xzJC8FcY4xOZM0PUuBRqRNWSJig_Qibn2xbqBFYvgSZa-JyKDjYj3MSIsd0OUaGL5OdzTmmtzDIVjYpmahIWh6eLXlABGHlDRuRAoFfFuEP9-VP9Ce7DjWDEVjbJqs4Tg-tJQcA3KAtwsT_zkeA1GBGr8_grdvBF1rArDaxNDIxz9jpc1YezpZ15MAnggrBfSaIeGRbX3_J3xk4EnGr6EwErBm0LifraVDRDmK_qq1FkN3_TFyfeJ6xxaODluzenUQDtI5f0N5rOsPiBhKJLjZ5z9limS93RE_WEUbw-W4A_WyJBaDw_FkF9HhdhotoK6pg4PExe4AcA.jpg,nan,2024-10-07T09:44:59+00:00,RusBotschaft,nan,nan,nan,52.6K,2024-10-07 9:44:59,No Category,No Category,Hostile Global Order,Russia,AUT_LABEL,No Category,"📍 Commentary from the Russian Embassy on the 75th Anniversary of the Founding of the German Democratic Republic 📅 On October 7, 1949, the German Democratic Republic (GDR) was founded in the territory of the Soviet occupation zone established after the war. This occurred in response to the founding of the Federal Republic of Germany from the American, British, and French occupation zones on May 23 of the same year. The West's separate decision destroyed the hope for the creation of a unified, denazified, demilitarized, democratic, and neutral German state and predetermined the division of the German people and the confrontation of the systems for decades to come. ▪️ In the West, the chapters of history related to the existence of the GDR are often discredited and painted in a baseless and negative light. The focus is exclusively on negative aspects. Social, scientific, cultural, sporting, and other achievements of the East German state are denied or concealed. What is being suppressed are the unique experiences of building a state in the spirit of social justice, for the protection of working people, for shaping future prospects for coming generations, and in the interest of children and mothers. These are the achievements that were accomplished against the backdrop of postwar ruin and the continuous attempts to destabilize the GDR. It is clear that the Soviet Union, bled dry by the war, could not offer the East German state its own ""Marshall Plan."" However, a few years later, the Soviet Union took another step of great consequence: in 1953, the USSR waived reparations, which, according to expert estimates, had thus far not even compensated for a tenth of the war damage inflicted on the Soviet economy. Our country, however, preferred to look to the future and shape that future together with the German people. Admittedly, the political, ideological, and socio-economic realities in the GDR can be viewed differently at the various stages of East German development. Beyond doubt, however, is the contribution the GDR made to the unprecedented reconciliation between the Soviet and German peoples after the war. A crucial role was played by the GDR's deliberate focus on genuine denazification and the development of good neighborly and friendly relations with the USSR, including between societies and individuals. The hatred that the former enemies had harbored for one another gave way to the values ​​of friendship and respect, fostered through numerous contacts between professional groups, social initiatives, research, cultural, and educational institutions, as well as through intensive tourist and youth exchanges. We knew and understood each other well. Even today, we sense the deep sympathy with which people in the eastern German states, many of whom lived and worked in the GDR, view Russia. Nothing has changed in that regard. Not in the decades that have passed since the day of German reunification, to which our country also made a decisive contribution, but also not in light of the current political turmoil and the attempts to drive a wedge between our peoples with misinformation and propaganda. It is also undisputed that the people in the Soviet Union never considered Germans to be representatives of the former Nazi Reich. Anyone in Germany who has ever visited our country will confirm that German guests have always been received as friends. 🔗 Read more.",N,Y,Authoritarian - Alliances,Y
t.me/ruscons_tm,RF_Diplomats,Посольство России в Туркменистане,https://t.me/ruscons_tm/250?embed=1,"ИНФОРМАЦИЯ О ПРОДАЖЕ БИЛЕТОВ НА РЕЙС ТУРКМЕНАБАД 🇹🇲 - МОСКВА 🇷🇺🔸 Продажа билетов на рейс по маршруту Туркменабад - Москва, который состоится 14 декабря с.г., начнётся в кассах Представительства ""Авиакомпании ""S7 Airlines"" 10 декабря с 10:00.",nan,nan,2021-12-10T04:47:37+00:00,ruscons_tm,nan,nan,nan,5.2K,2021-12-10 4:47:37,No Category,No Category,No Category,Other,AUT_LABEL,No Category,"INFORMATION ON THE SALE OF TICKETS FOR THE FLIGHT TURKMENABAD 🇹🇲 - MOSCOW 🇷🇺🔸 Sales of tickets for the flight on the route Turkmenabad - Moscow, which will take place on December 14 this year, will begin at the ticket offices of the Representative Office of S7 Airlines on December 10 from 10:00.",Y,Y,No Category,Y
t.me/rgrunews,RF_Media,Российская Газета | Новости ✔,https://t.me/rgrunews/131964?embed=1,"Президент Дональд Трамп объявил в США 11 ноября и 8 мая Днями Победы в Первой и Второй мировых войнах. Об этом он сообщил в своей соцсети Truth Social.""Я объявляю 8 мая Днем Победы во Второй мировой войне, а 11 ноября - Днем Победы в Первой мировой"", - написал он.При этом Трамп выступил с утверждением, что американцы ""победили в обеих войнах"", а для победы во Второй мировой войне США якобы сделали больше других стран.Фото: REUTERS@rgrunews",https://cdn4.cdn-telegram.org/file/ICVBUeC6geqt3UliJzihPjujph_RZ0EYcraNpZ1R0OUU2YZUuUCq_4Ci6in9qkQPIcVXk-sY1qPLI1K7h7sBDUWva88HM8AhftQW0NlzK99ijck64n-5U1A5Pq9MgXeFgakLDzcw1XxDA-NzzERuMqD2INesCsh4K3F5F-NR4tN8ng4DcwKfVFv8G2diTtvLvFhqoF9c4yuy4MkFAo1bnJCkELgg5ZvuWsmT4wc5iq5E8m4WcsO4OK2l34b_6EbG5f6Q61oSP2nJ5HRshw3VFMOb4wMBn44J5pa7ngzkThCpnEOBdkUESsjC-FD2eUHwdePdAUP_RKr_xZ5WHFcojA.jpg,nan,2025-05-02T03:26:46+00:00,rgrunews,nan,nan,nan,26.2K,2025-05-02 3:26:46,No Category,No Category,No Category,Other,AUT_LABEL,No Category,"President Donald Trump declared November 11 and May 8 as Victory Days in World War I and World War II in the United States. He announced this on his social media account, Truth Social. ""I declare May 8 as Victory Day in World War II, and November 11 as Victory Day in World War I,"" he wrote. Trump also claimed that Americans ""won both wars,"" and that the United States allegedly did more than other countries to achieve victory in World War II. Photo: REUTERS@rgrunews",Y,Y,No Category,Y
facebook.com/ChineseConsulateinHCM,China_Diplomats,nan,https://www.facebook.com/post/2982169515294030/,"4月7日，越南国会主席王庭惠抵达北京开始访华之行。
7/4, đồng chí Vương Đình Huệ, Chủ tịch Quốc hội Việt Nam đã đến thủ đô Bắc Kinh, bắt đầu chuyến thăm chính thức Trung Quốc.",nan,video,2024-04-08T00:29:50+00:00,ChineseConsulateinHCM,nan,120,7,5585,2024-04-08 0:29:50,No Category,No Category,No Category,Other,AUT_LABEL,No Category,"On April 7, Vietnamese National Assembly Chairwoman Vuong Dinh Hue arrived in Beijing to begin her visit to China.

7/4, đồng chí Vương Đình Huệ, Chủ tịch Quốc hội Việt Nam đã đến thủ đô Bắc Kinh, bắt đầu chuyến thăm chính thức Trung Quốc.",Y,N,Authoritarian - Alliances,Y
t.me/russiaun,RF_Diplomats,Постпредство России при ООН ✔,https://t.me/russiaun/2780?embed=1,"🎙Из выступления Постоянного представителя В.А.Небензи по порядку ведения заседания Совета Безопасности ООН по УкраинеЧитать полностью☝️Хотели бы вновь зафиксировать нашу позицию в связи с очередной попыткой наших западных коллег «продавить» участие в сегодняшнем заседании в виртуальном формате президента Украины Владимира Зеленского. Мы уже неоднократно подчеркивали, что мы не против самого по себе участия президента Украины или его представителя. Но это участие должно быть очным. Помимо того, что этого требуют правила, которые уже более 75 лет регулируют работу Совета Безопасности ООН, это еще и вопрос уважения к Совету. Он не должен превращаться в площадку для политических шоу или в кинотеатр.💬Мы выступаем за суверенное равенство государств и категорически против «двойных стандартов», когда среди членов ООН практикуют дискриминацию. Во многих из стран-членов ООН сложная внутриполитическая обстановка, однако их руководству не делается никаких послаблений. Точно так же и львиная доля международной гумпомощи ориентирована именно на Украину, а про помощь нуждающимся в других частях света западные спонсоры словно забыли, тратя при этом миллиарды долларов на новые поставки оружия Киеву. Отсюда и «двойные стандарты» Европы в отношении мигрантов, когда беженцам из Украины на всех европейских границах дают «зеленый свет», а от беженцев из Африки, Ближнего Востока и других регионов отгораживаются.",nan,nan,2022-09-27T19:33:51+00:00,russiaun,nan,nan,nan,1.3K,2022-09-27 19:33:51,No Category,No Category,Hostile Global Order,Russia,AUT_LABEL,No Category,"🎙From the statement by Permanent Representative V.A. Nebenzya on the order of the UN Security Council meeting on UkraineRead more☝️We would like to reiterate our position in connection with yet another attempt by our Western colleagues to ""push through"" the participation of Ukrainian President Volodymyr Zelenskyy in today's virtual meeting. We have repeatedly emphasized that we are not opposed to the participation of the Ukrainian President or his representative per se. However, this participation must be in person. In addition to the fact that this is required by the rules that have governed the work of the UN Security Council for over 75 years, this is also a matter of respect for the Council. It should not be turned into a platform for political shows or a movie theater.💬We stand for the sovereign equality of states and are categorically opposed to ""double standards"" when discrimination is practiced among UN members. Many UN member states face a difficult domestic political situation, yet their leadership is not being given any concessions. Likewise, the lion's share of international humanitarian aid is targeted specifically at Ukraine, while Western sponsors seem to have forgotten about aid to those in need in other parts of the world, while spending billions of dollars on new arms supplies to Kyiv. This explains Europe's ""double standards"" regarding migrants, where refugees from Ukraine are given the green light at all European borders, while refugees from Africa, the Middle East, and other regions are shut out.",Y,Y,No Category,Y
https://x.com/EmbRusaGuate,RF_Diplomats,nan,https://twitter.com/EmbRusaGuate/status/1244723753835257863,"Moscow provides all possible assistance to the international community in its fight against #COVID19. The peoples of CIS countries,🇰🇵🇮🇷🇮🇹🇲🇳🇻🇪 have already received @Russia aid. We even interact with🇺🇦 and reaffirm readiness to help🇺🇸#Disinformation by @UKRintheUSA seem pathetic pic.twitter.com/JILSywWJD7",nan,nan,2020/03/30 20:58:53,EmbRusaGuate,nan,nan,nan,nan,2020-03-30 20:58:53,Authoritarian - Economic Influence,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Economic Influence,"Moscow provides all possible assistance to the international community in its fight against #COVID19. The peoples of CIS countries,🇰🇵🇮🇷🇮🇹🇲🇳🇻🇪 have already received @Russia aid. We even interact with🇺🇦 and reaffirm readiness to help🇺🇸#Disinformation by @UKRintheUSA seem pathetic pic.twitter.com/JILSywWJD7",Y,Y,"add ""aid"" ""assitance"" to economic influence",Y
t.me/aifonline,RF_Media,Аргументы и Факты — АиФ.ru ✔,https://t.me/aifonline/40028?embed=1,"Евросоюз обсуждает проект санкций против Казахстана, Узбекистана и Кыргызстана за помощь Москве с параллельным импортом. На Западе считают, что через бывшие советские республики в Россию ввозят технику, которая затем используется для восстановления бронетехники и беспилотников, поврежденных в ходе СВО. Согласно конфиденциальному документу, на который ссылается британское издание The Telegraph, чиновники ЕС отмечают резкий рост торговли потребительскими товарами между Европой и традиционными союзниками Кремля в Центральной Азии.Среди санкций обсуждается запрет бизнесу и частным лицам Казахстана, Узбекистана и Кыргызстана на покупку товаров на рынке Европы, если будет доказано, что они участвуют в реэкспорте в Россию.Подписывайся на АиФ",nan,nan,2023-03-25T11:24:51+00:00,aifonline,nan,nan,nan,7.6K,2023-03-25 11:24:51,Authoritarian - Economic Influence,No Category,Hostile Global Order,Other,AUT_LABEL,Authoritarian - Economic Influence,"The European Union is discussing sanctions against Kazakhstan, Uzbekistan, and Kyrgyzstan for assisting Moscow with parallel imports. The West believes that equipment is being imported into Russia through the former Soviet republics, which is then used to repair armored vehicles and drones damaged during the Second World War. According to a confidential document cited by the British newspaper The Telegraph, EU officials are noting a sharp increase in consumer goods trade between Europe and the Kremlin's traditional allies in Central Asia. Among the sanctions being discussed is a ban on businesses and individuals from Kazakhstan, Uzbekistan, and Kyrgyzstan purchasing goods on the European market if they are proven to be involved in re-exporting goods to Russia. Subscribe to AiF",Y,Y,"? COULD GO EITHER WAY; HOSTILE ORDER, BUT IMPLICT RUSSIAN INFLUENCE WITHIN CA",Y
t.me/mk_ru,RF_Media,Московский Комсомолец,https://t.me/mk_ru/56757?embed=1,⚡️ Путин поручил повысить МРОТ до 35 тысяч рублей к 2030 году опережающими темпами,nan,nan,2024-04-01T13:15:26+00:00,mk_ru,nan,nan,nan,19.4K,2024-04-01 13:15:26,Authoritarian - Economic Influence,No Category,No Category,Russia,AUT_LABEL,Authoritarian - Economic Influence,"Putin ordered an accelerated increase in the minimum wage to 35,000 rubles by 2030.",Y,Y,"THIS IS PURELY DOMESTIC, SHOULD IT COUNT?",Y
https://x.com/ChinaEmbKSA,China_Diplomats,nan,https://twitter.com/ChinaEmbKSA/status/1372666020536672257,今天，沙特航天局与中国载人航天办公室就2022年沙特在中国空间站开展科研活动，签署视频会议交换文件方式的执行计划。 pic.twitter.com/hSlFrrL7Pu,nan,nan,2021/03/18 21:47:48,ChinaEmbKSA,nan,nan,nan,nan,2021-03-18 21:47:48,Authoritarian - Economic Influence,No Category,No Category,China,AUT_LABEL,Authoritarian - Economic Influence,"Today, the Saudi Space Agency and the China Manned Space Office signed an implementation plan via video conference for Saudi Arabia's scientific research activities on the Chinese space station in 2022. (pic.twitter.com/hSlFrrL7Pu)",Y,Y,"SPACE AS ECON OR SECURITY? - OK AS ECON BC ""COOPERATION'",Y
